Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,41.602501,42.299999,41.317501,42.275002,40.656700,214277600
2018-05-02,43.807499,44.437500,43.450001,44.142502,42.452709,266157600
2018-05-03,43.970001,44.375000,43.610001,44.222500,42.529636,136272800
2018-05-04,44.562500,46.062500,44.542500,45.957500,44.198219,224805200
2018-05-07,46.294998,46.917500,46.187500,46.290001,44.517998,169805600
2018-05-08,46.247501,46.555000,45.917500,46.512501,44.731987,113611200
2018-05-09,46.637501,46.849998,46.305000,46.840000,45.046944,92844800
2018-05-10,46.935001,47.592499,46.912498,47.509998,45.691292,111957200
2018-05-11,47.372501,47.514999,46.862499,47.147499,45.517517,104848800
2018-05-14,47.252499,47.382500,46.965000,47.037498,45.411320,83115200
2018-05-15,46.695000,46.767502,46.275002,46.610001,44.998600,94780800
2018-05-16,46.517502,47.115002,46.500000,47.044998,45.418560,76732400
2018-05-17,47.000000,47.227501,46.590000,46.747501,45.131348,69176000
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.967224,73190800
2018-05-21,47.000000,47.317501,46.727501,46.907501,45.285820,73603200
2018-05-22,47.095001,47.220001,46.695000,46.790001,45.172382,60962800
2018-05-23,46.587502,47.125000,46.439999,47.090000,45.462009,80233600
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.411320,92936000
2018-05-25,47.057499,47.412498,46.912498,47.145000,45.515106,69844000
2018-05-29,46.900002,47.187500,46.717499,46.974998,45.350979,90056400
2018-05-30,46.930000,47.000000,46.695000,46.875000,45.254433,74762000
2018-05-31,46.805000,47.057499,46.535000,46.717499,45.102379,109931200
2018-06-01,46.997501,47.564999,46.937500,47.560001,45.915764,93770000
2018-06-04,47.910000,48.355000,47.837502,47.957500,46.299515,105064800
2018-06-05,48.267502,48.485001,48.090000,48.327499,46.656719,86264000
2018-06-06,48.407501,48.520000,47.980000,48.494999,46.818428,83734400
2018-06-07,48.535000,48.549999,48.084999,48.365002,46.692921,85388800
2018-06-08,47.792500,48.000000,47.442501,47.924999,46.268139,106627200
2018-06-11,47.837502,47.992500,47.552502,47.807499,46.154701,73234000
2018-06-12,47.847500,48.152500,47.787498,48.070000,46.408119,67644400
2018-06-13,48.105000,48.220001,47.610001,47.674999,46.026775,86553600
2018-06-14,47.887501,47.892502,47.555000,47.700001,46.050911,86440400
2018-06-15,47.507500,47.540001,47.064999,47.209999,45.577854,246876800
2018-06-18,46.970001,47.305000,46.799999,47.185001,45.553711,73939600
2018-06-19,46.285000,46.582500,45.862499,46.422501,44.817581,134314000
2018-06-20,46.587502,46.799999,46.432499,46.625000,45.013084,82514800
2018-06-21,46.812500,47.087502,46.235001,46.365002,44.762074,102847600
2018-06-22,46.529999,46.537498,46.174999,46.230000,44.631737,108801600
2018-06-25,45.849998,46.230000,45.182499,45.542500,43.968006,126652400
2018-06-26,45.747501,46.632500,45.634998,46.107498,44.513470,98276800
2018-06-27,46.307499,46.820000,46.007500,46.040001,44.448299,101141200
2018-06-28,46.025002,46.552502,45.950001,46.375000,44.771725,69460800
2018-06-29,46.572498,46.797501,45.727501,46.277500,44.677597,90950800
2018-07-02,45.955002,46.825001,45.855000,46.794998,45.177208,70925200
2018-07-03,46.947498,46.987499,45.884998,45.980000,44.390381,55819200
2018-07-05,46.314999,46.602501,46.070000,46.349998,44.747585,66416800
2018-07-06,46.355000,47.107498,46.299999,46.992500,45.367878,69940800
2018-07-09,47.375000,47.669998,47.325001,47.645000,45.997814,79026400
2018-07-10,47.677502,47.820000,47.544998,47.587502,45.942310,63756400
2018-07-11,47.125000,47.445000,46.902500,46.970001,45.346149,75326000
2018-07-12,47.382500,47.852501,47.327499,47.757500,46.106426,72164400
2018-07-13,47.770000,47.959999,47.724998,47.832500,46.178841,50055600
2018-07-16,47.880001,48.162498,47.605000,47.727501,46.077469,60172400
2018-07-17,47.437500,47.967499,47.299999,47.862499,46.207802,62138000
2018-07-18,47.945000,47.950001,47.482498,47.599998,45.954376,65573600
2018-07-19,47.422501,48.137501,47.422501,47.970001,46.311584,81147200
2018-07-20,47.945000,48.107498,47.542500,47.860001,46.205383,82704800
2018-07-23,47.669998,47.990002,47.389999,47.902500,46.246410,63957600
2018-07-24,48.112499,48.415001,48.012501,48.250000,46.581894,74791600
2018-07-25,48.264999,48.712502,48.107498,48.705002,47.021164,66839600
2018-07-26,48.652500,48.990002,48.402500,48.552502,46.873936,76304000
2018-07-27,48.747501,48.797501,47.525002,47.744999,46.094357,96096000
2018-07-30,47.974998,48.049999,47.267502,47.477501,45.836105,84118000
2018-07-31,47.575001,48.035000,47.334999,47.572498,45.927818,157492000
